Time,City,Id,parameter,value,status,valid
2025-01-18T16:00:00+02:00,Carmei Yosef,76,NOX,4.3,1,True
2025-01-18T16:00:00+02:00,Carmei Yosef,76,NO,0.8,1,True
2025-01-18T16:00:00+02:00,Carmei Yosef,76,NO2,3.5,1,True
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,SO2,1.5,1,True
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,WS,-9999.0,0,False
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,WD,-9999.0,0,False
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,StWd,-9999.0,0,False
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,O3,41.3,1,True
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,NOX,3.5,1,True
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,NO,0.6,1,True
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,NO2,2.9,1,True
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,Rain,-9999.0,2,False
2025-01-18T16:00:00+02:00,Achisamach,78,SO2,0.7,1,True
2025-01-18T16:00:00+02:00,Achisamach,78,WS,3.0,1,True
2025-01-18T16:00:00+02:00,Achisamach,78,WD,349.0,1,True
2025-01-18T16:00:00+02:00,Achisamach,78,O3,49.4,1,True
2025-01-18T16:00:00+02:00,Achisamach,78,NOX,3.9,1,True
2025-01-18T16:00:00+02:00,Achisamach,78,NO,0.7,1,True
2025-01-18T16:00:00+02:00,Achisamach,78,NO2,3.2,1,True
2025-01-18T16:15:00+02:00,Beit Hashmonai,367,SO2,-9999.0,0,False
2025-01-18T16:15:00+02:00,Beit Hashmonai,367,WS,-9999.0,0,False
2025-01-18T16:15:00+02:00,Beit Hashmonai,367,WD,-9999.0,0,False
2025-01-18T16:15:00+02:00,Beit Hashmonai,367,O3,-9999.0,0,False
2025-01-18T16:15:00+02:00,Beit Hashmonai,367,NOX,-9999.0,0,False
2025-01-18T16:15:00+02:00,Beit Hashmonai,367,NO,-9999.0,0,False
2025-01-18T16:15:00+02:00,Beit Hashmonai,367,NO2,-9999.0,0,False
2025-01-18T16:15:00+02:00,Beit Hashmonai,367,Temp,-9999.0,0,False
2025-01-18T16:15:00+02:00,Beit Hashmonai,367,RH,-9999.0,0,False
2025-01-18T16:15:00+02:00,Beit Hashmonai,367,PM10,10.9,1,True
2025-01-18T16:15:00+02:00,Beit Hashmonai,367,PM2.5,8.5,1,True
2025-01-18T16:15:00+02:00,Yad Rambam New,338,SO2,0.5,1,True
2025-01-18T16:15:00+02:00,Yad Rambam New,338,NOX,3.6,1,True
2025-01-18T16:15:00+02:00,Yad Rambam New,338,NO,0.5,1,True
